onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.534	11.171	6.534	5	11.535	6.171	1	6.171	112	65
24.053	8.16	24.053	4	28.053	4.16	1	4.16	42	69
40.604	9.708	40.604	5	45.605	4.708	1	4.708	182	64
58.139	11.278	58.139	4	62.14	7.278	1	7.278	84	66
75.158	8.511	75.158	3	78.158	5.511	1	5.511	252	58
92.193	9.215	92.193	5	97.193	4.215	1	4.215	308	56
108.744	6.857	108.744	4	112.744	2.857	1	2.857	28	72
126.262	9.455	126.262	3	129.263	6.455	1	6.455	294	57
143.781	9.079	143.781	5	148.781	4.079	1	4.079	210	60
160.816	8.262	160.816	3	163.816	5.262	1	5.262	238	59
177.851	7.272	177.851	3	180.851	4.272	1	4.272	70	67
195.386	7.849	195.386	3	198.386	4.849	1	4.849	126	63
211.937	7.864	211.937	4	215.938	3.864	1	3.864	168	63
229.472	9.111	229.472	5	234.473	4.111	1	4.111	224	58
246.007	7.715	246.007	4	250.007	3.715	1	3.715	350	55
263.542	10.483	263.542	3	266.542	7.483	1	7.483	336	56
280.577	9.46	280.577	5	285.577	4.46	1	4.46	266	60
298.112	7.683	298.112	3	301.112	4.683	1	4.683	280	61
315.147	7.623	315.147	3	318.147	4.623	1	4.623	140	64
331.698	7.806	331.698	5	336.699	2.806	1	2.806	14	73
348.733	7.684	348.733	4	352.734	3.684	1	3.684	322	59
366.268	9.015	366.268	4	370.269	5.015	1	5.015	154	63
382.803	8.64	382.803	5	387.804	3.64	1	3.64	364	55
399.355	7.339	399.355	5	404.355	2.339	1	2.339	56	70
415.906	6.527	415.906	4	419.907	2.527	1	2.527	196	65
432.441	6.774	432.441	3	435.442	3.774	1	3.774	98	68
