onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.042	15	6.042	5	11.051	10	0	9.936	336	29
22.594	12.479	22.594	4	26.602	8.479	1	8.479	280	15
39.627	13.393	39.627	4	43.635	9.393	1	9.393	140	20
57.155	13.23	57.155	5	62.165	8.23	1	8.23	196	15
74.682	13.373	74.682	5	79.692	8.373	1	8.373	126	20
92.21	13	92.21	3	95.216	10	0	9.493	238	20
108.762	11.115	108.762	3	111.768	8.115	1	8.115	322	15
125.795	13.237	125.795	5	130.805	8.237	1	8.237	364	15
143.323	13	143.323	3	146.329	10	0	9.995	210	14
160.356	14	160.356	4	164.364	10	0	9.904	350	15
177.389	11.14	177.389	3	180.395	8.14	1	8.14	84	40
194.917	14.687	194.917	5	199.927	9.687	1	9.687	224	15
212.445	13	212.445	3	215.45	10	0	9.931	98	25
228.997	14	228.997	4	233.005	10	0	9.771	56	52
245.549	15	245.549	5	250.559	10	0	9.861	252	19
262.102	9.239	262.102	4	266.109	5.239	1	5.239	42	50
279.135	5.591	279.135	4	283.143	1.591	1	1.591	14	75
296.662	13	296.662	3	299.668	10	0	9.439	154	19
313.215	10.647	313.215	3	316.22	7.647	1	7.647	70	35
330.248	15	330.248	5	335.258	10	0	9.418	112	31
346.8	13	346.8	3	349.806	10	0	9.821	294	16
364.328	5.13	364.328	4	368.336	1.13	1	1.13	28	75
380.88	14	380.88	4	384.888	10	0	9.552	308	15
397.913	14.208	397.913	5	402.923	9.208	1	9.208	168	15
414.946	13.987	414.946	5	419.956	8.987	1	8.987	182	15
432.474	11.567	432.474	3	435.48	8.567	1	8.567	266	15
