onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.047	15	6.047	5	11.057	10	0	7.718	266	40
23.575	13.202	23.575	4	27.583	9.202	1	9.202	98	55
40.608	10.639	40.608	5	45.618	5.639	1	5.639	308	35
57.642	9.738	57.642	3	60.647	6.738	1	6.738	14	69
74.194	9.275	74.194	4	78.202	5.275	1	5.275	182	60
91.227	10.394	91.227	4	95.235	6.394	1	6.394	70	55
107.78	14	107.78	4	111.788	10	0	9.987	238	41
125.307	10.409	125.307	4	129.315	6.409	1	6.409	350	25
141.86	11.194	141.86	5	146.87	6.194	1	6.194	364	25
158.893	8.88	158.893	3	161.899	5.88	1	5.88	154	65
176.421	11.788	176.421	5	181.431	6.788	1	6.788	336	26
192.973	7.954	192.973	4	196.981	3.954	1	3.954	84	60
210.007	6.946	210.007	3	213.013	3.946	1	3.946	28	65
227.04	5.917	227.04	3	230.046	2.917	1	2.917	126	60
244.074	6.965	244.074	4	248.081	2.965	1	2.965	168	61
261.107	10.831	261.107	5	266.117	5.831	1	5.831	322	31
277.659	12.196	277.659	5	282.669	7.196	1	7.196	224	29
294.212	9.373	294.212	3	297.218	6.373	1	6.373	210	30
311.74	4.841	311.74	3	314.745	1.841	1	1.841	112	65
329.267	8.752	329.267	3	332.273	5.752	1	5.752	294	33
345.82	6.759	345.82	5	350.829	1.759	1	1.759	56	68
363.347	7.664	363.347	5	368.357	2.664	1	2.664	196	60
380.875	9.801	380.875	5	385.885	4.801	1	4.801	140	56
398.403	8.889	398.403	3	401.409	5.889	1	5.889	252	30
414.955	8.881	414.955	3	417.961	5.881	1	5.881	280	33
432.483	5.846	432.483	4	436.491	1.846	1	1.846	42	70
