onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.527	7.771	6.527	3	9.528	4.771	1	4.771	308	44
23.562	5.652	23.562	5	28.563	0.652	1	0.652	14	74
41.097	7.671	41.097	3	44.098	4.671	1	4.671	266	48
58.132	4.222	58.132	3	61.133	1.222	1	1.222	70	68
75.167	5.497	75.167	3	78.168	2.497	1	2.497	210	54
91.719	7.57	91.719	4	95.719	3.57	1	3.57	238	51
109.254	6.504	109.254	5	114.254	1.504	1	1.504	28	72
126.789	9.769	126.789	5	131.789	4.769	1	4.769	364	39
144.324	8.759	144.324	5	149.324	3.759	1	3.759	294	46
161.359	8.301	161.359	4	165.359	4.301	1	4.301	336	41
177.91	8.821	177.91	4	181.911	4.821	1	4.821	182	57
194.462	8.139	194.462	5	199.462	3.139	1	3.139	224	53
211.997	8.704	211.997	4	215.997	4.704	1	4.704	154	60
229.532	7.474	229.532	5	234.532	2.474	1	2.474	126	62
246.567	7.554	246.567	3	249.567	4.554	1	4.554	196	55
263.118	5.37	263.118	4	267.119	1.37	1	1.37	56	69
279.67	8.37	279.67	3	282.67	5.37	1	5.37	280	47
296.705	8.081	296.705	4	300.705	4.081	1	4.081	252	50
313.256	8.332	313.256	5	318.257	3.332	1	3.332	112	64
329.808	6.687	329.808	4	333.808	2.687	1	2.687	168	58
346.843	6.397	346.843	5	351.843	1.397	1	1.397	42	71
364.378	8.312	364.378	5	369.378	3.312	1	3.312	140	61
381.913	4.645	381.913	3	384.913	1.645	1	1.645	84	67
399.448	8.321	399.448	3	402.448	5.321	1	5.321	322	43
415.999	6.326	415.999	3	419	3.326	1	3.326	98	65
432.534	10.387	432.534	4	436.535	6.387	1	6.387	350	40
