onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.535	11.379	6.535	3	9.535	8.379	1	8.379	266	58
23.57	8.306	23.57	3	26.57	5.306	1	5.306	126	62
40.605	9.748	40.605	5	45.605	4.748	1	4.748	308	55
57.156	10.678	57.156	3	60.156	7.678	1	7.678	56	70
73.708	12.979	73.708	4	77.708	8.979	1	8.979	238	55
90.243	9.408	90.243	5	95.243	4.408	1	4.408	168	63
107.778	12.9	107.778	5	112.778	7.9	1	7.9	280	58
124.329	7.474	124.329	3	127.329	4.474	1	4.474	196	60
141.847	12.95	141.847	3	144.848	9.95	1	9.95	140	65
158.866	9.778	158.866	4	162.866	5.778	1	5.778	294	54
176.401	14.472	176.401	5	181.401	9.472	1	9.472	252	56
193.436	10.927	193.436	5	198.436	5.927	1	5.927	112	67
209.987	11.05	209.987	3	212.988	8.05	1	8.05	224	58
227.506	7.991	227.506	4	231.506	3.991	1	3.991	42	70
244.541	11.774	244.541	5	249.541	6.774	1	6.774	28	70
261.575	10.799	261.575	4	265.576	6.799	1	6.799	154	65
279.11	8.011	279.11	3	282.111	5.011	1	5.011	322	55
295.662	9.275	295.662	4	299.662	5.275	1	5.275	70	70
313.197	7.852	313.197	3	316.197	4.852	1	4.852	364	51
329.749	7.043	329.749	4	333.749	3.043	1	3.043	84	70
346.783	9.778	346.783	5	351.784	4.778	1	4.778	350	52
364.318	10.728	364.318	3	367.319	7.728	1	7.728	98	68
381.837	7.628	381.837	4	385.837	3.628	1	3.628	14	70
398.388	13.191	398.388	5	403.389	8.191	1	8.191	182	62
415.907	8.211	415.907	4	419.907	4.211	1	4.211	336	52
432.458	14.858	432.458	5	437.459	9.858	1	9.858	210	53
