onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.024	15	7.024	5	12.033	10	0	7.209	84	26
24.057	13	24.057	3	27.063	10	0	9.883	280	7
40.609	15	40.609	5	45.619	10	0	7.059	364	29
57.643	15	57.643	5	62.652	10	0	9.964	266	7
75.17	13.048	75.17	4	79.178	9.048	1	9.048	112	10
92.698	12.985	92.698	4	96.706	8.985	1	8.985	70	25
110.225	13	110.225	3	113.231	10	0	9.894	98	10
126.778	12.385	126.778	3	129.784	9.385	1	9.385	28	60
143.33	12.353	143.33	3	146.336	9.353	1	9.353	42	50
160.363	13	160.363	3	163.369	10	0	9.975	196	12
177.891	14	177.891	4	181.899	10	0	9.759	140	10
195.419	15	195.419	5	200.428	10	0	7.662	14	71
212.505	13	212.505	3	215.511	10	0	9.582	182	50
229.058	14	229.058	4	233.066	10	0	9.599	154	11
245.61	9.887	245.61	3	248.616	6.887	1	6.887	56	30
262.163	14	262.163	4	266.17	10	0	9.06	252	30
279.196	14	279.196	4	283.204	10	0	9.95	168	8
296.723	15	296.723	5	301.733	10	0	9.798	126	28
314.251	14	314.251	4	318.259	10	0	8.196	308	32
331.685	14	331.685	4	335.693	10	0	9.932	294	10
349.56	13	349.56	3	352.566	10	0	9.705	350	8
366.113	13	366.113	3	369.118	10	0	9.837	210	7
383.146	15	383.146	5	388.156	10	0	9.623	322	8
400.673	15	400.673	5	405.683	10	0	8.42	336	11
418.335	15	418.335	5	423.344	10	0	9.728	224	5
434.887	14.643	434.887	5	439.897	9.643	1	9.643	238	5
