onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.021	15	7.021	5	12.033	10	0	2.846	266	50
23.559	13	23.559	3	26.566	10	0	9.927	84	49
41.1	13	41.1	3	44.107	10	0	9.495	280	48
57.638	14	57.638	4	61.648	10	0	4.258	350	45
74.661	15	74.661	5	79.673	10	0	9.031	98	55
91.199	13	91.199	3	94.206	10	0	9.525	336	45
108.723	14	108.723	4	112.733	10	0	8.499	154	55
125.746	13	125.746	3	128.753	10	0	5.093	224	52
143.27	14	143.27	4	147.279	10	0	3.442	364	40
159.825	15	159.825	5	164.837	10	0	7.705	294	45
176.864	15	176.864	5	181.876	10	0	9.252	126	59
193.887	15	193.887	5	198.899	10	0	9.078	42	57
210.927	13	210.927	3	213.934	10	0	9.763	112	57
227.949	13	227.949	3	230.956	10	0	5.416	196	50
244.488	15	244.488	5	249.499	10	0	9.623	210	48
261.026	13	261.026	3	264.033	10	0	4.151	252	45
278.55	13	278.55	3	281.557	10	0	5.611	322	43
296.09	14	296.09	4	300.1	10	0	6.425	308	43
312.629	15	312.629	5	317.64	10	0	5.103	70	60
329.167	14	329.167	4	333.176	10	0	9.641	168	53
345.722	13	345.722	3	348.729	10	0	3.244	140	55
363.263	15	363.263	5	368.274	10	0	4.784	28	70
380.787	15	380.787	5	385.798	10	0	6.503	14	70
398.31	14	398.31	4	402.32	10	0	8.87	182	51
415.333	14	415.333	4	419.344	10	0	5.969	238	45
432.356	14	432.356	4	436.365	10	0	6.848	56	63
