onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.017	14	7.017	4	11.025	10	0	7.193	42	68
24.05	15	24.05	5	29.06	10	0	7.576	322	54
41.578	13	41.578	3	44.584	10	0	9.392	252	57
58.13	15	58.13	5	63.14	10	0	6.251	56	68
75.657	15	75.657	5	80.667	10	0	5.755	196	62
92.918	13	92.918	3	95.924	10	0	8.94	154	62
109.47	13	109.47	3	112.476	10	0	6.694	210	60
126.022	14	126.022	4	130.03	10	0	6.666	238	61
143.55	13	143.55	3	146.556	10	0	6.936	294	56
161.077	14	161.077	4	165.085	10	0	3.359	98	68
178.605	15	178.605	5	183.614	10	0	7.525	140	60
195.157	15	195.157	5	200.167	10	0	8.196	266	55
212.19	14	212.19	4	216.198	10	0	7.651	168	60
228.742	15	228.742	5	233.752	10	0	6.308	364	45
246.27	15	246.27	5	251.28	10	0	6.469	336	50
263.797	13	263.797	3	266.803	10	0	7.093	112	60
280.349	15	280.349	5	285.359	10	0	8.107	224	56
296.902	13	296.902	3	299.908	10	0	8.565	280	58
313.935	13	313.935	3	316.941	10	0	5.754	28	72
330.968	14	330.968	4	334.976	10	0	9.486	70	66
348.001	15	348.001	5	353.011	10	0	5.054	308	50
364.553	14	364.553	4	368.561	10	0	6.978	84	67
382.081	14	382.081	4	386.089	10	0	4.509	350	46
399.114	13	399.114	3	402.12	10	0	7.022	126	57
415.666	14	415.666	4	419.674	10	0	8.109	182	55
432.7	13	432.7	3	435.705	10	0	1.104	14	74
