onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.044	12.893	6.044	3	9.05	9.893	1	9.893	322	55
22.596	8.013	22.596	3	25.602	5.013	1	5.013	294	61
39.629	10.651	39.629	5	44.639	5.651	1	5.651	168	70
56.663	7.16	56.663	5	61.673	2.16	1	2.16	182	70
73.215	5.353	73.215	3	76.221	2.353	1	2.353	70	75
89.767	8.999	89.767	4	93.775	4.999	1	4.999	308	59
107.295	13.164	107.295	5	112.305	8.164	1	8.164	224	68
124.823	6.634	124.823	4	128.831	2.634	1	2.634	28	75
142.35	12.009	142.35	3	145.356	9.009	1	9.009	238	67
158.903	8.906	158.903	5	163.912	3.906	1	3.906	252	62
176.43	10.788	176.43	3	179.436	7.788	1	7.788	266	62
193.464	5.005	193.464	3	196.469	2.005	1	2.005	84	75
210.497	9.064	210.497	4	214.505	5.064	1	5.064	350	56
228.025	12.002	228.025	3	231.03	9.002	1	9.002	210	69
245.058	5.901	245.058	4	249.066	1.901	1	1.901	14	75
261.61	13.685	261.61	5	266.62	8.685	1	8.685	336	57
278.644	7.01	278.644	5	283.653	2.01	1	2.01	112	72
295.196	11.202	295.196	4	299.204	7.202	1	7.202	42	66
312.723	8.575	312.723	5	317.733	3.575	1	3.575	126	69
329.757	14.255	329.757	5	334.767	9.255	1	9.255	364	54
347.284	7.652	347.284	3	350.29	4.652	1	4.652	98	74
364.812	8.772	364.812	5	369.822	3.772	1	3.772	196	68
382.34	8.005	382.34	3	385.346	5.005	1	5.005	154	67
398.892	8.86	398.892	4	402.9	4.86	1	4.86	280	63
415.444	6.494	415.444	4	419.452	2.494	1	2.494	56	75
432.478	11.235	432.478	4	436.486	7.235	1	7.235	140	69
