onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.031	7.462	7.031	4	11.032	3.462	1	3.462	154	49
23.583	11.92	23.583	5	28.584	6.92	1	6.92	140	50
41.118	8.559	41.118	3	44.118	5.559	1	5.559	252	40
58.653	7.982	58.653	3	61.653	4.982	1	4.982	56	64
75.205	10.221	75.205	4	79.205	6.221	1	6.221	364	30
92.24	8.16	92.24	3	95.24	5.16	1	5.16	266	40
109.274	6.058	109.274	3	112.275	3.058	1	3.058	84	60
125.826	7.581	125.826	4	129.826	3.581	1	3.581	28	66
143.361	9.458	143.361	5	148.361	4.458	1	4.458	322	35
159.913	7.881	159.913	4	163.913	3.881	1	3.881	238	45
176.948	10.648	176.948	3	179.948	7.648	1	7.648	196	48
193.982	10.245	193.982	5	198.983	5.245	1	5.245	336	33
210.534	7.478	210.534	4	214.534	3.478	1	3.478	98	60
227.569	9.479	227.569	5	232.569	4.479	1	4.479	350	33
244.121	14.939	244.121	5	249.121	9.939	1	9.939	126	51
260.672	8.827	260.672	4	264.672	4.827	1	4.827	308	35
278.207	8.275	278.207	3	281.207	5.275	1	5.275	70	64
295.742	4.73	295.742	3	298.742	1.73	1	1.73	42	65
312.777	8.553	312.777	5	317.777	3.553	1	3.553	210	46
329.812	5.363	329.812	3	332.813	2.363	1	2.363	168	51
346.847	10.113	346.847	4	350.847	6.113	1	6.113	224	40
363.398	7.26	363.398	5	368.399	2.26	1	2.26	112	58
380.933	10.899	380.933	5	385.934	5.899	1	5.899	182	48
398.452	11.343	398.452	4	402.452	7.343	1	7.343	14	71
415.003	8.625	415.003	5	420.004	3.625	1	3.625	294	40
432.522	8.849	432.522	3	435.522	5.849	1	5.849	280	42
