onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.033	6.118	6.033	5	11.033	1.118	1	1.118	28	73
23.568	6.984	23.568	3	26.568	3.984	1	3.984	252	62
41.103	6.684	41.103	3	44.103	3.684	1	3.684	14	74
57.655	7.567	57.655	4	61.655	3.567	1	3.567	308	61
74.69	7.901	74.69	3	77.69	4.901	1	4.901	126	67
92.208	9.251	92.208	5	97.208	4.251	1	4.251	56	71
108.76	8.034	108.76	4	112.76	4.034	1	4.034	196	64
125.795	7.21699999999999	125.795	3.99999999999999	129.795	3.217	1	3.217	210	63
142.346	10.768	142.346	3	145.346	7.768	1	7.768	84	69
159.881	8.434	159.881	3	162.881	5.434	1	5.434	154	66
176.916	9.118	176.916	4	180.916	5.118	1	5.118	336	61
194.451	5.934	194.451	4	198.451	1.934	1	1.934	182	65
211.486	11.151	211.486	5	216.486	6.151	1	6.151	168	66
228.521	7.468	228.521	3	231.521	4.468	1	4.468	98	69
245.073	6.75	245.073	5	250.073	1.75	1	1.75	294	63
261.624	7.601	261.624	3	264.624	4.601	1	4.601	70	70
279.159	10.268	279.159	4	283.159	6.268	1	6.268	238	63
296.194	11.035	296.194	5	301.194	6.035	1	6.035	350	59
312.746	10.301	312.746	5	317.746	5.301	1	5.301	112	67
329.297	10.401	329.297	5	334.297	5.401	1	5.401	280	63
345.849	8.884	345.849	5	350.849	3.884	1	3.884	140	66
362.884	8.001	362.884	5	367.884	3.001	1	3.001	224	64
380.402	12.135	380.402	3	383.402	9.135	1	9.135	266	64
397.92	6.818	397.92	4	401.92	2.818	1	2.818	364	59
414.939	11.084	414.939	3	417.939	8.084	1	8.084	42	71
432.474	12.501	432.474	4	436.474	8.501	1	8.501	322	61
