onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.041	10.118	6.041	5	11.041	5.118	1	5.118	308	50
23.075	8.689	23.075	5	28.076	3.689	1	3.689	126	65
40.594	10.283	40.594	4	44.594	6.283	1	6.283	252	55
57.145	7.781	57.145	5	62.146	2.781	1	2.781	140	65
73.697	10.556	73.697	4	77.697	6.556	1	6.556	224	60
90.732	9.919	90.732	3	93.732	6.919	1	6.919	70	70
108.267	8.114	108.267	3	111.267	5.114	1	5.114	364	45
124.818	4.335	124.818	3	127.819	1.335	1	1.335	42	75
141.853	8.988	141.853	3	144.854	5.988	1	5.988	336	45
158.872	9.322	158.872	4	162.872	5.322	1	5.322	238	60
175.423	9.765	175.423	5	180.424	4.765	1	4.765	112	65
192.958	9.217	192.958	5	197.959	4.217	1	4.217	168	65
209.51	9.576	209.51	3	212.51	6.576	1	6.576	322	50
226.061	8.067	226.061	4	230.062	4.067	1	4.067	294	50
243.596	8.636	243.596	4	247.597	4.636	1	4.636	182	63
261.131	7.424	261.131	3	264.132	4.424	1	4.424	84	70
278.15	7.3	278.15	5	283.15	2.3	1	2.3	196	60
294.701	10.967	294.701	4	298.701	6.967	1	6.967	280	55
312.236	6.205	312.236	5	317.237	1.205	1	1.205	14	75
329.754	5.846	329.754	3	332.755	2.846	1	2.846	154	60
346.789	11.495	346.789	3	349.79	8.495	1	8.495	266	55
363.808	8.737	363.808	5	368.808	3.737	1	3.737	56	73
381.343	4.742	381.343	3	384.343	1.742	1	1.742	98	68
398.377	8.412	398.377	5	403.378	3.412	1	3.412	350	45
415.912	5.758	415.912	4	419.913	1.758	1	1.758	28	75
432.464	7.828	432.464	4	436.464	3.828	1	3.828	210	60
