onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.043	13	6.043	3	9.048	10	0	9.907	280	31
23.076	10.189	23.076	4	27.083	6.189	1	6.189	70	55
39.628	15	39.628	5	44.638	10	0	9.671	266	25
56.661	6.411	56.661	3	59.667	3.411	1	3.411	14	70
74.188	7.316	74.188	4	78.196	3.316	1	3.316	42	60
91.221	7.248	91.221	3	94.227	4.248	1	4.248	28	60
108.254	9.33	108.254	3	111.26	6.33	1	6.33	154	35
125.782	9.404	125.782	3	128.788	6.404	1	6.404	112	35
142.334	9.354	142.334	4	146.342	5.354	1	5.354	84	50
159.861	13.89	159.861	4	163.869	9.89	1	9.89	350	14
176.414	9.571	176.414	5	181.423	4.571	1	4.571	56	55
193.941	11.595	193.941	5	198.951	6.595	1	6.595	140	47
211.468	14.559	211.468	5	216.478	9.559	1	9.559	336	15
228.501	12.946	228.501	4	232.509	8.946	1	8.946	168	35
245.535	10.961	245.535	3	248.54	7.961	1	7.961	126	40
262.087	15	262.087	5	267.097	10	0	9.94	364	11
279.12	15	279.12	5	284.13	10	0	8.556	322	15
296.634	11.575	296.634	4	300.642	7.575	1	7.575	238	20
313.186	15	313.186	5	318.196	10	0	8.116	224	26
329.858	11.434	329.858	4	333.866	7.434	1	7.434	182	30
347.386	8.207	347.386	4	351.394	4.207	1	4.207	98	45
364.913	11.779	364.913	3	367.919	8.779	1	8.779	294	20
381.946	13.824	381.946	5	386.956	8.824	1	8.824	308	16
398.499	12.791	398.499	3	401.504	9.791	1	9.791	210	25
416.026	11.977	416.026	3	419.032	8.977	1	8.977	252	20
433.553	15	433.553	5	438.563	10	0	9.956	196	29
