onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.533	13	6.533	3	9.539	10	0	9.728	350	11
23.566	14	23.566	4	27.574	10	0	9.708	294	14
41.708	15	41.708	5	46.718	10	0	9.904	336	12
59.236	9.726	59.236	4	63.244	5.726	1	5.726	112	40
76.763	7.255	76.763	3	79.769	4.255	1	4.255	98	45
93.796	13	93.796	3	96.802	10	0	9.777	182	25
110.829	15	110.829	5	115.839	10	0	9.495	322	14
127.381	13.834	127.381	5	132.391	8.834	1	8.834	364	10
144.415	8.978	144.415	3	147.42	5.978	1	5.978	196	25
160.967	11.066	160.967	5	165.976	6.066	1	6.066	224	34
178	10.641	178	4	183.971	6.641	1	6.641	168	40
194.552	8.555	194.552	4	198.56	4.555	1	4.555	154	42
211.585	13	211.585	3	214.591	10	0	9.197	280	18
228.618	14.333	228.618	5	233.628	9.333	1	9.333	266	20
246.146	12.229	246.146	5	251.155	7.229	1	7.229	14	71
262.698	13.313	262.698	5	267.708	8.313	1	8.313	238	25
279.25	7.697	279.25	3	282.256	4.697	1	4.697	56	60
295.802	12.361	295.802	4	299.81	8.361	1	8.361	252	25
313.33	9.377	313.33	5	318.339	4.377	1	4.377	84	60
330.857	13.797	330.857	4	334.865	9.797	1	9.797	70	60
348.384	9.854	348.384	4	352.392	5.854	1	5.854	140	45
365.912	9.66	365.912	5	370.921	4.66	1	4.66	126	50
382.464	13	382.464	3	385.47	10	0	9.893	210	27
399.991	12.706	399.991	4	403.999	8.706	1	8.706	308	15
416.543	5.398	416.543	3	419.549	2.398	1	2.398	42	65
433.096	5.896	433.096	3	436.101	2.896	1	2.896	28	70
