onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.049	12.981	6.049	4	10.057	8.981	1	8.981	238	20
22.601	9.02	22.601	5	27.611	4.02	1	4.02	98	50
39.634	8.067	39.634	4	43.642	4.067	1	4.067	70	55
56.187	14.909	56.187	5	61.196	9.909	1	9.909	196	30
73.22	12.358	73.22	5	78.229	7.358	1	7.358	266	20
90.747	4.761	90.747	3	93.753	1.761	1	1.761	28	70
108.274	5.375	108.274	3	111.28	2.375	1	2.375	42	65
125.308	12.625	125.308	3	128.313	9.625	1	9.625	252	20
142.835	10.698	142.835	3	145.841	7.698	1	7.698	154	35
160.362	13.142	160.362	5	165.372	8.142	1	8.142	350	10
177.89	12.413	177.89	4	181.898	8.413	1	8.413	126	50
194.923	8.558	194.923	4	198.931	4.558	1	4.558	14	70
211.956	10.026	211.956	4	215.964	6.026	1	6.026	168	29
228.989	8.855	228.989	3	231.995	5.855	1	5.855	56	65
245.541	13.764	245.541	5	250.551	8.764	1	8.764	210	25
262.574	14.934	262.574	5	267.584	9.934	1	9.934	112	50
279.127	9.726	279.127	3	282.132	6.726	1	6.726	294	18
295.679	14	295.679	4	299.686	10	0	9.982	336	26
313.206	13.566	313.206	5	318.216	8.566	1	8.566	280	20
330.733	12.861	330.733	3	333.739	9.861	1	9.861	224	20
348.261	15	348.261	5	353.271	10	0	9.734	308	14
365.294	11.755	365.294	4	369.302	7.755	1	7.755	364	10
382.821	12.283	382.821	5	387.831	7.283	1	7.283	322	15
399.374	10.896	399.374	3	402.379	7.896	1	7.896	140	45
415.926	14	415.926	4	419.933	10	0	8.567	182	41
432.478	5.175	432.478	3	435.484	2.175	1	2.175	84	63
