onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.054	13.443	6.054	4	10.054	9.443	1	9.443	168	58
23.088	9.658	23.088	5	28.089	4.658	1	4.658	28	72
40.107	12.649	40.107	4	44.107	8.649	1	8.649	364	40
57.642	10.306	57.642	4	61.642	6.306	1	6.306	42	68
74.677	9.219	74.677	4	78.677	5.219	1	5.219	196	56
92.212	9.727	92.212	3	95.212	6.727	1	6.727	70	65
109.747	10.757	109.747	3	112.747	7.757	1	7.757	98	52
127.282	8.346	127.282	4	131.282	4.346	1	4.346	322	45
144.317	7.363	144.317	3	147.317	4.363	1	4.363	294	48
160.868	8.666	160.868	5	165.869	3.666	1	3.666	252	49
177.903	15	177.903	5	182.904	10	0	9.662	350	40
195.438	8.37	195.438	4	199.438	4.37	1	4.37	112	63
212.973	7.886	212.973	3	215.973	4.886	1	4.886	140	58
229.525	8.896	229.525	5	234.525	3.896	1	3.896	154	55
246.076	7.508	246.076	5	251.077	2.508	1	2.508	56	70
263.111	13	263.111	3	266.111	10	0	9.939	336	40
280.646	7.814	280.646	3	283.646	4.814	1	4.814	280	44
297.198	11.689	297.198	3	300.198	8.689	1	8.689	238	44
314.733	7.116	314.733	5	319.733	2.116	1	2.116	14	74
331.284	9.902	331.284	3	334.284	6.902	1	6.902	224	48
347.836	15	347.836	5	352.836	10	0	6.478	182	68
364.871	7.386	364.871	4	368.871	3.386	1	3.386	210	55
381.422	7.765	381.422	4	385.423	3.765	1	3.765	266	52
398.957	8.565	398.957	3	401.957	5.565	1	5.565	126	66
415.992	5.996	415.992	5	420.993	0.996	1	0.996	84	70
432.544	10.363	432.544	5	437.544	5.363	1	5.363	308	45
