onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.523	10.407	6.523	5	11.523	5.407	1	5.407	336	20
24.041	7.137	24.041	3	27.041	4.137	1	4.137	154	35
40.592	12.041	40.592	4	44.593	8.041	1	8.041	252	25
57.144	11.537	57.144	5	62.145	6.537	1	6.537	238	36
73.696	8.709	73.696	3	76.696	5.709	1	5.709	56	69
90.247	11.055	90.247	5	95.248	6.055	1	6.055	210	38
107.782	9.913	107.782	3	110.782	6.913	1	6.913	112	60
125.317	9.747	125.317	3	128.317	6.747	1	6.747	280	21
142.852	10.87	142.852	5	147.853	5.87	1	5.87	140	40
159.887	8.444	159.887	3	162.887	5.444	1	5.444	322	20
176.439	10.172	176.439	5	181.439	5.172	1	5.172	98	70
193.974	12.689	193.974	4	197.974	8.689	1	8.689	42	61
211.509	9.267	211.509	4	215.509	5.267	1	5.267	294	20
228.06	10.163	228.06	5	233.061	5.163	1	5.163	196	27
245.078	14	245.078	4	249.079	10	0	9.889	182	25
262.597	11.377	262.597	4	266.597	7.377	1	7.377	350	20
279.632	6.872	279.632	3	282.632	3.872	1	3.872	84	55
297.167	13.24	297.167	5	302.167	8.24	1	8.24	308	20
314.202	10.156	314.202	3	317.202	7.156	1	7.156	266	22
331.237	8.718	331.237	3	334.237	5.718	1	5.718	70	65
348.272	14	348.272	4	352.272	10	0	9.619	364	15
364.823	12.408	364.823	5	369.824	7.408	1	7.408	224	30
381.858	5.898	381.858	3	384.858	2.898	1	2.898	28	73
399.393	6.416	399.393	5	404.393	1.416	1	1.416	14	75
415.928	10.568	415.928	4	419.928	6.568	1	6.568	126	49
432.479	10.503	432.479	4	436.48	6.503	1	6.503	168	28
