onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.023	11.083	7.023	5	12.023	6.083	1	6.083	322	15
24.041	9.221	24.041	4	28.042	5.221	1	5.221	252	20
40.576	12.722	40.576	4	44.576	8.722	1	8.722	294	20
57.611	9.233	57.611	4	61.611	5.233	1	5.233	224	22
74.163	8.35	74.163	3	77.163	5.35	1	5.35	154	30
91.698	9.076	91.698	4	95.698	5.076	1	5.076	126	40
108.732	8.781	108.732	5	113.733	3.781	1	3.781	56	65
125.767	8.946	125.767	3	128.768	5.946	1	5.946	336	15
142.302	9.657	142.302	3	145.303	6.657	1	6.657	280	25
158.854	9.39	158.854	4	162.854	5.39	1	5.39	210	25
175.405	10.173	175.405	5	180.406	5.173	1	5.173	266	20
192.44	7.037	192.44	5	197.441	2.037	1	2.037	42	70
209.975	4.913	209.975	3	212.976	1.913	1	1.913	70	73
226.527	7.539	226.527	3	229.527	4.539	1	4.539	140	30
243.562	10.269	243.562	4	247.562	6.269	1	6.269	308	20
260.113	14	260.113	4	264.114	10	0	9.536	168	24
277.648	5.234	277.648	3	280.649	2.234	1	2.234	112	69
294.183	5.498	294.183	3	297.184	2.498	1	2.498	98	60
311.718	6.132	311.718	5	316.719	1.132	1	1.132	14	75
329.253	8.465	329.253	3	332.254	5.465	1	5.465	364	15
345.805	9.836	345.805	5	350.805	4.836	1	4.836	238	23
363.34	6.191	363.34	3	366.34	3.191	1	3.191	28	71
380.375	10.75	380.375	5	385.375	5.75	1	5.75	196	25
397.91	11.75	397.91	4	401.91	7.75	1	7.75	182	25
415.445	8.462	415.445	5	420.445	3.462	1	3.462	84	70
432.48	12.011	432.48	5	437.48	7.011	1	7.011	350	16
