onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.524	7.245	6.524	3	9.531	4.245	1	4.245	266	57
24.048	5.445	24.048	3	27.055	2.445	1	2.445	56	68
41.572	6.504	41.572	3	44.579	3.504	1	3.504	98	66
58.595	6.208	58.595	4	62.604	2.208	1	2.208	70	68
76.136	6.668	76.136	3	79.143	3.668	1	3.668	140	60
93.175	7.758	93.175	3	96.182	4.758	1	4.758	14	62
109.73	4.769	109.73	3	112.737	1.769	1	1.769	28	70
126.753	6.418	126.753	4	130.762	2.418	1	2.418	112	64
143.792	8.488	143.792	3	146.799	5.488	1	5.488	210	50
161.316	9.665	161.316	4	165.325	5.665	1	5.665	350	47
178.84	7.969	178.84	5	183.852	2.969	1	2.969	280	62
196.364	8.979	196.364	4	200.373	4.979	1	4.979	182	60
212.919	10.828	212.919	5	217.931	5.828	1	5.828	294	51
229.457	6.777	229.457	4	233.467	2.777	1	2.777	42	68
246.48	7.192	246.48	4	250.489	3.192	1	3.192	154	62
264.021	8.163	264.021	5	269.032	3.163	1	3.163	196	62
281.06	7.754	281.06	5	286.072	2.754	1	2.754	126	62
297.598	11.729	297.598	5	302.61	6.729	1	6.729	224	50
314.137	9.351	314.137	4	318.146	5.351	1	5.351	252	53
331.176	11.886	331.176	5	336.188	6.886	1	6.886	336	46
348.7	7.256	348.7	5	353.712	2.256	1	2.256	84	68
365.255	8.135	365.255	3	368.262	5.135	1	5.135	238	54
381.81	9.303	381.81	4	385.819	5.303	1	5.303	322	48
398.365	11.728	398.365	5	403.377	6.728	1	6.728	364	46
414.903	7.641	414.903	5	419.915	2.641	1	2.641	168	63
432.427	8.881	432.427	3	435.434	5.881	1	5.881	308	50
