onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.036	9.718	7.036	4	11.037	5.718	1	5.718	252	35
24.571	9.816	24.571	3	27.572	6.816	1	6.816	322	23
41.59	8.96	41.59	5	46.59	3.96	1	3.96	112	34
59.125	12.248	59.125	5	64.125	7.248	1	7.248	140	34
75.659	6.205	75.659	4	79.66	2.205	1	2.205	14	71
92.211	10.944	92.211	5	97.212	5.944	1	5.944	224	26
109.246	12.151	109.246	3	112.246	9.151	1	9.151	350	26
125.781	7.791	125.781	3	128.781	4.791	1	4.791	168	28
142.332	10.278	142.332	3	145.333	7.278	1	7.278	182	30
159.867	9.709	159.867	5	164.868	4.709	1	4.709	126	40
176.902	10.246	176.902	4	180.903	6.246	1	6.246	308	25
193.454	10.372	193.454	4	197.454	6.372	1	6.372	196	38
210.006	10.051	210.006	5	215.006	5.051	1	5.051	210	29
227.57	5.883	227.57	3	230.574	2.883	1	2.883	56	50
244.592	10.093	244.592	3	247.592	7.093	1	7.093	238	20
261.627	5.681	261.627	4	265.627	1.681	1	1.681	28	70
279.162	9.095	279.162	3	282.163	6.095	1	6.095	294	24
296.697	10.852	296.697	5	301.697	5.852	1	5.852	280	20
313.732	8.593	313.732	5	318.732	3.593	1	3.593	84	44
330.767	9.629	330.767	3	333.767	6.629	1	6.629	154	31
347.802	10.69	347.802	5	352.802	5.69	1	5.69	42	58
364.353	9.388	364.353	4	368.354	5.388	1	5.388	364	20
380.905	11.571	380.905	5	385.905	6.571	1	6.571	336	19
397.457	7.922	397.457	4	401.457	3.922	1	3.922	98	40
414.975	9.51	414.975	4	418.975	5.51	1	5.51	266	25
432.51	4.96	432.51	3	435.51	1.96	1	1.96	70	61
