onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.532	10.124	6.532	4	10.532	6.124	1	6.124	280	41
23.55	9.662	23.55	4	27.551	5.662	1	5.662	14	60
40.102	9.059	40.102	3	43.102	6.059	1	6.059	224	40
57.637	10.961	57.637	5	62.637	5.961	1	5.961	238	39
74.188	11.372	74.188	3	77.189	8.372	1	8.372	126	45
91.207	10.505	91.207	4	95.207	6.505	1	6.505	56	55
108.242	11.3	108.242	4	112.242	7.3	1	7.3	28	63
124.793	11.15	124.793	3	127.793	8.15	1	8.15	308	35
141.328	10.513	141.328	3	144.328	7.513	1	7.513	140	43
158.863	11.623	158.863	5	163.863	6.623	1	6.623	196	40
175.415	12.528	175.415	3	178.415	9.528	1	9.528	98	48
192.95	12.206	192.95	5	197.95	7.206	1	7.206	266	40
209.985	10.945	209.985	4	213.985	6.945	1	6.945	210	38
226.536	11.043	226.536	3	229.536	8.043	1	8.043	182	42
244.071	13.031	244.071	5	249.072	8.031	1	8.031	252	35
260.623	11.451	260.623	3	263.623	8.451	1	8.451	350	30
277.174	10.122	277.174	3	280.175	7.122	1	7.122	322	35
294.709	11.643	294.709	5	299.71	6.643	1	6.643	364	28
311.727	14	311.727	4	315.728	10	0	9.387	70	55
329.262	13.064	329.262	5	334.263	8.064	1	8.064	112	47
346.797	10.268	346.797	5	351.798	5.268	1	5.268	42	63
363.832	10.163	363.832	4	367.833	6.163	1	6.163	84	48
380.384	9.881	380.384	3	383.384	6.881	1	6.881	294	37
397.419	9.048	397.419	4	401.419	5.048	1	5.048	336	35
414.954	14.303	414.954	5	419.954	9.303	1	9.303	168	42
432.472	9.601	432.472	5	437.473	4.601	1	4.601	154	45
