onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.051	10.12	6.051	3	9.051	7.12	1	7.12	294	35
22.586	9.209	22.586	3	25.586	6.209	1	6.209	308	37
39.621	8.79	39.621	4	43.621	4.79	1	4.79	70	58
56.656	10.824	56.656	4	60.656	6.824	1	6.824	336	33
73.674	10.79	73.674	4	77.674	6.79	1	6.79	126	45
91.209	13.591	91.209	5	96.21	8.591	1	8.591	252	43
108.227	12.087	108.227	4	112.228	8.087	1	8.087	112	48
125.762	10.898	125.762	5	130.763	5.898	1	5.898	196	40
142.297	11.47	142.297	3	145.298	8.47	1	8.47	42	60
158.832	11.616	158.832	3	161.832	8.616	1	8.616	210	35
175.867	7.785	175.867	4	179.867	3.785	1	3.785	14	67
192.419	10.458	192.419	3	195.419	7.458	1	7.458	154	43
209.437	10.979	209.437	4	213.437	6.979	1	6.979	182	44
226.972	12.355	226.972	5	231.972	7.355	1	7.355	280	38
243.523	8.503	243.523	3	246.524	5.503	1	5.503	56	63
260.558	10.064	260.558	4	264.559	6.064	1	6.064	322	32
278.077	11.681	278.077	5	283.077	6.681	1	6.681	140	49
294.628	8.005	294.628	3	297.629	5.005	1	5.005	168	45
311.663	9.394	311.663	4	315.664	5.394	1	5.394	84	50
328.215	8.813	328.215	3	331.215	5.813	1	5.813	238	44
345.75	11.965	345.75	5	350.75	6.965	1	6.965	350	30
363.285	14.024	363.285	5	368.285	9.024	1	9.024	266	40
380.803	11.66	380.803	5	385.804	6.66	1	6.66	28	60
398.338	11.245	398.338	5	403.339	6.245	1	6.245	364	29
415.873	12.307	415.873	5	420.873	7.307	1	7.307	224	36
432.425	9.849	432.425	3	435.425	6.849	1	6.849	98	49
