onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.053	9.511	6.053	4	10.054	5.511	1	5.511	364	50
23.588	10.822	23.588	4	27.589	6.822	1	6.822	266	55
40.623	5.387	40.623	3	43.623	2.387	1	2.387	28	70
57.175	8.688	57.175	5	62.175	3.688	1	3.688	140	65
74.71	11.484	74.71	3	77.71	8.484	1	8.484	84	67
91.745	7.965	91.745	5	96.745	2.965	1	2.965	14	75
108.78	15	108.78	5	113.78	10	0	9.885	322	54
125.331	7.723	125.331	3	128.331	4.723	1	4.723	182	60
141.866	8.337	141.866	5	146.866	3.337	1	3.337	196	55
158.901	10.816	158.901	4	162.901	6.816	1	6.816	112	63
176.436	15	176.436	5	181.436	10	0	9.822	336	44
193.471	8.878	193.471	4	197.471	4.878	1	4.878	70	68
211.006	9.332	211.006	3	214.006	6.332	1	6.332	308	55
228.041	9.091	228.041	5	233.041	4.091	1	4.091	42	70
245.576	12.593	245.576	5	250.576	7.593	1	7.593	168	65
262.127	10.981	262.127	4	266.128	6.981	1	6.981	252	75
279.646	11.108	279.646	3	282.646	8.108	1	8.108	98	66
296.197	7.378	296.197	3	299.198	4.378	1	4.378	210	60
313.732	8.909	313.732	3	316.732	5.909	1	5.909	294	55
330.284	12.088	330.284	3	333.284	9.088	1	9.088	350	50
347.819	8.302	347.819	3	350.819	5.302	1	5.302	224	58
364.854	9.082	364.854	4	368.854	5.082	1	5.082	280	59
381.405	13.1	381.405	5	386.406	8.1	1	8.1	238	59
398.423	14	398.423	4	402.424	10	0	7.485	154	65
415.942	12.243	415.942	5	420.942	7.243	1	7.243	126	67
432.493	6.379	432.493	4	436.494	2.379	1	2.379	56	70
