onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.018	8.16	7.018	5	12.027	3.16	1	3.16	14	65
24.051	12.954	24.051	3	27.056	9.954	1	9.954	182	38
40.603	9.299	40.603	3	43.609	6.299	1	6.299	42	55
58.13	15	58.13	5	63.14	10	0	9.862	336	27
75.163	11.388	75.163	3	78.169	8.388	1	8.388	196	33
92.69	14	92.69	4	96.698	10	0	9.042	140	34
109.723	12.734	109.723	3	112.729	9.734	1	9.734	280	27
127.251	14	127.251	4	131.258	10	0	8.407	308	24
143.803	10.722	143.803	3	146.809	7.722	1	7.722	56	52
160.355	7.993	160.355	3	163.361	4.993	1	4.993	28	60
176.907	10.619	176.907	3	179.913	7.619	1	7.619	210	30
193.459	15	193.459	5	198.469	10	0	9.814	364	45
210.492	14	210.492	4	214.5	10	0	9.035	168	31
227.525	15	227.525	5	232.535	10	0	9.856	266	29
244.077	14.985	244.077	5	249.087	9.985	1	9.985	238	30
260.629	12.717	260.629	4	264.637	8.717	1	8.717	252	29
278.157	8.879	278.157	3	281.162	5.879	1	5.879	98	45
295.19	11.341	295.19	4	299.197	7.341	1	7.341	294	25
312.717	13.61	312.717	4	316.725	9.61	1	9.61	70	48
330.244	13.67	330.244	5	335.254	8.67	1	8.67	84	46
347.277	11.783	347.277	5	352.287	6.783	1	6.783	322	23
364.805	11.099	364.805	4	368.812	7.099	1	7.099	112	38
381.357	12.514	381.357	4	385.365	8.514	1	8.514	154	35
398.39	11.756	398.39	3	401.396	8.756	1	8.756	350	32
414.942	14.095	414.942	5	419.952	9.095	1	9.095	224	27
432.469	15	432.469	5	437.479	10	0	9.494	126	38
