onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.042	10.25	6.042	5	11.052	5.25	1	5.25	364	45
23.569	12.117	23.569	5	28.579	7.117	1	7.117	84	60
40.121	13.36	40.121	5	45.131	8.36	1	8.36	238	44
57.649	14	57.649	4	61.657	10	0	8.412	308	50
75.176	10.43	75.176	4	79.184	6.43	1	6.43	140	41
91.728	5.856	91.728	3	94.734	2.856	1	2.856	56	71
109.256	12.383	109.256	5	114.265	7.383	1	7.383	336	43
126.289	9.855	126.289	3	129.295	6.855	1	6.855	280	31
142.841	13.688	142.841	4	146.849	9.688	1	9.688	154	54
159.874	11.65	159.874	4	163.882	7.65	1	7.65	168	47
177.402	5.405	177.402	5	182.411	0.405	1	0.405	14	75
193.954	9.015	193.954	4	197.961	5.015	1	5.015	252	49
211.481	10.942	211.481	3	214.487	7.942	1	7.942	98	45
228.514	10.144	228.514	4	232.522	6.144	1	6.144	294	45
246.042	15	246.042	5	251.051	10	0	9.97	126	48
263.075	11.688	263.075	5	268.084	6.688	1	6.688	322	34
280.108	10.537	280.108	3	283.114	7.537	1	7.537	182	43
296.66	3.222	296.66	3	299.666	0.222	1	0.222	42	75
313.693	10.985	313.693	3	316.699	7.985	1	7.985	350	35
331.22	13.728	331.22	4	335.228	9.728	1	9.728	112	40
348.254	9.818	348.254	3	351.259	6.818	1	6.818	196	35
365.781	12.592	365.781	4	369.789	8.592	1	8.592	70	50
382.814	15	382.814	5	387.824	10	0	8.296	266	40
399.366	8.792	399.366	3	402.372	5.792	1	5.792	210	37
415.918	3.233	415.918	3	418.924	0.233	1	0.233	28	75
432.471	13.075	432.471	5	437.48	8.075	1	8.075	224	39
