onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.021	14	7.021	4	11.029	10	0	8.335	70	30
23.573	13	23.573	3	26.579	10	0	9.95	210	28
40.126	14	40.126	4	44.133	10	0	9.493	252	47
56.678	13.923	56.678	5	61.688	8.923	1	8.923	224	13
74.205	10.359	74.205	4	78.213	6.359	1	6.359	112	33
91.239	14	91.239	4	95.246	10	0	4.817	294	18
108.272	14.331	108.272	5	113.281	9.331	1	9.331	322	33
125.305	10.92	125.305	4	129.313	6.92	1	6.92	168	50
141.857	8.068	141.857	3	144.863	5.068	1	5.068	28	65
158.89	13	158.89	3	161.896	10	0	9.738	280	20
176.418	10.394	176.418	5	181.428	5.394	1	5.394	14	60
193.451	13	193.451	3	196.457	10	0	9.819	350	12
210.484	13	210.484	3	213.49	10	0	8.842	182	29
227.036	7.159	227.036	3	230.042	4.159	1	4.159	42	59
244.564	12.365	244.564	5	249.574	7.365	1	7.365	336	17
261.597	14.223	261.597	5	266.607	9.223	1	9.223	266	17
279.124	15	279.124	5	284.134	10	0	9.51	126	20
295.677	11.007	295.677	3	298.683	8.007	1	8.007	56	48
313.204	13.244	313.204	4	317.212	9.244	1	9.244	140	36
329.756	9.356	329.756	4	333.764	5.356	1	5.356	154	34
346.309	12.071	346.309	5	351.318	7.071	1	7.071	238	23
363.836	14	363.836	4	367.844	10	0	9.649	308	25
381.364	12.075	381.364	5	386.373	7.075	1	7.075	84	45
398.397	13	398.397	3	401.403	10	0	6.595	196	26
415.924	7.8	415.924	3	418.93	4.8	1	4.8	98	51
432.476	13.137	432.476	5	437.486	8.137	1	8.137	364	24
