onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.533	11.274	6.533	5	11.542	6.274	1	6.274	322	50
24.06	8.586	24.06	4	28.068	4.586	1	4.586	308	50
41.588	6.801	41.588	3	44.593	3.801	1	3.801	98	60
59.115	11.617	59.115	5	64.125	6.617	1	6.617	126	65
76.148	8.037	76.148	3	79.154	5.037	1	5.037	350	50
92.7	7.627	92.7	3	95.706	4.627	1	4.627	210	60
109.734	12.297	109.734	5	114.743	7.297	1	7.297	266	54
126.286	15	126.286	5	131.296	10	0	9.622	224	61
142.838	9.08	142.838	4	146.846	5.08	1	5.08	154	60
159.871	7.408	159.871	4	163.879	3.408	1	3.408	168	60
177.399	12.551	177.399	4	181.406	8.551	1	8.551	112	55
194.432	6.385	194.432	3	197.438	3.385	1	3.385	280	60
210.984	9.907	210.984	3	213.99	6.907	1	6.907	56	74
227.536	15	227.536	5	232.546	10	0	9.955	364	62
244.089	11.415	244.089	5	249.098	6.415	1	6.415	238	60
261.122	14	261.122	4	265.13	10	0	9.699	294	54
278.649	7.15	278.649	5	283.659	2.15	1	2.15	14	75
295.201	6.674	295.201	3	298.207	3.674	1	3.674	28	73
312.235	6.741	312.235	3	315.241	3.741	1	3.741	182	62
328.787	9.645	328.787	4	332.795	5.645	1	5.645	252	60
345.339	6.303	345.339	3	348.345	3.303	1	3.303	42	70
362.867	7.84	362.867	4	366.874	3.84	1	3.84	70	69
380.394	8.113	380.394	5	385.404	3.113	1	3.113	84	65
397.427	11.172	397.427	3	400.433	8.172	1	8.172	196	60
414.955	8.891	414.955	5	419.964	3.891	1	3.891	336	55
432.482	12.224	432.482	4	436.49	8.224	1	8.224	140	61
