onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.525	12.874	6.525	5	11.526	7.874	1	7.874	196	60
24.044	7.636	24.044	4	28.045	3.636	1	3.636	350	40
40.595	11.214	40.595	5	45.596	6.214	1	6.214	210	52
58.13	13.794	58.13	5	63.131	8.794	1	8.794	126	68
75.665	9.405	75.665	3	78.666	6.405	1	6.405	308	42
92.217	6.17	92.217	3	95.217	3.17	1	3.17	42	72
109.252	6.825	109.252	3	112.252	3.825	1	3.825	14	74
125.803	11.991	125.803	5	130.804	6.991	1	6.991	252	52
142.338	10.569	142.338	5	147.339	5.569	1	5.569	168	66
158.89	12.375	158.89	4	162.89	8.375	1	8.375	322	42
175.925	10.143	175.925	4	179.925	6.143	1	6.143	266	46
192.476	9.675	192.476	4	196.477	5.675	1	5.675	154	64
209.028	13	209.028	3	212.028	10	0	9.993	294	45
226.063	7.976	226.063	4	230.063	3.976	1	3.976	98	66
243.598	11.996	243.598	3	246.598	8.996	1	8.996	112	68
260.149	5.71	260.149	4	264.15	1.71	1	1.71	56	72
277.684	8.69	277.684	3	280.685	5.69	1	5.69	182	60
294.703	8.858	294.703	3	297.703	5.858	1	5.858	238	51
311.738	7.601	311.738	4	315.738	3.601	1	3.601	84	69
329.273	6.198	329.273	5	334.273	1.198	1	1.198	70	68
346.807	5.63	346.807	5	351.808	0.63	1	0.63	28	74
363.842	11.142	363.842	3	366.843	8.142	1	8.142	336	40
380.861	12.113	380.861	5	385.861	7.113	1	7.113	364	35
397.412	11.142	397.412	3	400.413	8.142	1	8.142	280	45
414.931	6.289	414.931	4	418.931	2.289	1	2.289	140	64
432.466	12.321	432.466	5	437.466	7.321	1	7.321	224	48
