onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.03	9.442	7.03	5	12.03	4.442	1	4.442	350	40
23.581	10.303	23.581	3	26.582	7.303	1	7.303	252	52
40.616	5.91	40.616	4	44.617	1.91	1	1.91	14	74
57.168	7.816	57.168	4	61.168	3.816	1	3.816	294	50
74.703	6.524	74.703	3	77.703	3.524	1	3.524	280	48
91.738	10.247	91.738	5	96.738	5.247	1	5.247	336	42
108.289	11.242	108.289	5	113.29	6.242	1	6.242	210	49
124.841	9.076	124.841	5	129.841	4.076	1	4.076	364	40
141.376	13.475	141.376	5	146.376	8.475	1	8.475	126	66
158.411	10.226	158.411	4	162.411	6.226	1	6.226	238	48
175.446	6.37	175.446	3	178.446	3.37	1	3.37	42	70
191.997	8.034	191.997	5	196.998	3.034	1	3.034	112	70
209.532	7.189	209.532	3	212.533	4.189	1	4.189	224	63
226.084	9.772	226.084	4	230.084	5.772	1	5.772	56	70
243.619	5.565	243.619	3	246.619	2.565	1	2.565	196	68
261.154	8.425	261.154	4	265.154	4.425	1	4.425	308	42
278.689	11.191	278.689	4	282.689	7.191	1	7.191	322	40
295.24	9.373	295.24	4	299.241	5.373	1	5.373	98	68
312.759	9.679	312.759	5	317.759	4.679	1	4.679	28	72
329.794	4.063	329.794	3	332.794	1.063	1	1.063	70	70
346.829	6.237	346.829	3	349.829	3.237	1	3.237	182	65
363.864	8.988	363.864	5	368.864	3.988	1	3.988	140	65
381.399	7.764	381.399	3	384.399	4.764	1	4.764	154	60
397.95	11.477	397.95	4	401.951	7.477	1	7.477	168	58
415.485	14.903	415.485	5	420.486	9.903	1	9.903	266	44
432.52	7.212	432.52	3	435.52	4.212	1	4.212	84	68
