onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.517	13.451	6.517	5	11.517	8.451	1	8.451	126	67
23.552	6.867	23.552	3	26.552	3.867	1	3.867	168	66
41.087	9.367	41.087	3	44.087	6.367	1	6.367	84	69
57.638	7.368	57.638	5	62.638	2.368	1	2.368	364	59
75.157	6.084	75.157	4	79.157	2.084	1	2.084	336	60
91.708	11.051	91.708	4	95.708	7.051	1	7.051	112	68
108.743	9.401	108.743	4	112.743	5.401	1	5.401	154	66
125.778	11.168	125.778	3.99999999999999	129.778	7.168	1	7.168	294	62
142.313	7.967	142.313	5	147.313	2.967	1	2.967	56	71
158.865	6.617	158.865	3	161.865	3.617	1	3.617	140	66
175.416	10.801	175.416	3	178.416	7.801	1	7.801	280	63
192.451	5.901	192.451	5	197.451	0.901	1	0.901	28	73
209.986	10.001	209.986	3	212.986	7.001	1	7.001	238	63
227.521	6.901	227.521	4	231.521	2.901	1	2.901	266	62
245.056	11.368	245.056	3	248.056	8.368	1	8.368	224	64
261.608	8.35	261.608	5	266.608	3.35	1	3.35	42	73
279.143	6.85	279.143	4	283.143	2.85	1	2.85	322	60
295.694	13.051	295.694	5	300.694	8.051	1	8.051	252	62
312.246	9.451	312.246	5	317.246	4.451	1	4.451	350	59
329.281	5.617	329.281	3	332.281	2.617	1	2.617	14	74
346.816	6.2	346.816	3	349.816	3.2	1	3.2	196	64
364.351	10.984	364.351	5	369.351	5.984	1	5.984	70	70
381.386	6.7	381.386	5	386.386	1.7	1	1.7	182	65
398.921	7.067	398.921	3	401.921	4.067	1	4.067	308	61
415.472	11.768	415.472	4	419.472	7.768	1	7.768	210	63
432.507	12.051	432.507	4	436.507	8.051	1	8.051	98	67
