onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.035	6.733	7.035	3	10.036	3.733	1	3.733	56	70
23.587	7.432	23.587	5	28.587	2.432	1	2.432	98	68
40.138	7.055	40.138	4	44.139	3.055	1	3.055	336	57
57.173	5.9	57.173	3	60.174	2.9	1	2.9	126	65
74.708	5.513	74.708	3	77.709	2.513	1	2.513	224	60
91.26	6.375	91.26	4	95.26	2.375	1	2.375	168	64
108.295	6.668	108.295	3	111.295	3.668	1	3.668	210	61
124.846	7.448	124.846	4	128.847	3.448	1	3.448	322	57
141.398	7.798	141.398	5	146.398	2.798	1	2.798	42	71
158.433	10.838	158.433	5	163.433	5.838	1	5.838	140	63
174.984	5.81	174.984	4	178.985	1.81	1	1.81	14	73
192.019	6.712	192.019	4	196.02	2.712	1	2.712	112	66
209.554	6.119	209.554	3	212.555	3.119	1	3.119	84	70
227.073	8.675	227.073	3	230.073	5.675	1	5.675	294	57
243.624	9.451	243.624	5	248.625	4.451	1	4.451	252	58
260.176	7.25	260.176	3	263.176	4.25	1	4.25	70	70
277.211	10.646	277.211	4	281.211	6.646	1	6.646	266	60
294.746	8.942	294.746	4	298.746	4.942	1	4.942	196	62
312.281	7.356	312.281	5	317.281	2.356	1	2.356	280	60
329.316	6.887	329.316	3	332.316	3.887	1	3.887	350	52
346.851	9.863	346.851	5	351.851	4.863	1	4.863	364	50
363.386	7.248	363.386	5	368.386	2.248	1	2.248	28	72
380.92	15	380.92	5	385.921	10	0	9.937	238	50
398.439	10.782	398.439	4	402.439	6.782	1	6.782	308	54
415.474	8.92	415.474	5	420.474	3.92	1	3.92	154	63
432.509	8.596	432.509	3	435.509	5.596	1	5.596	182	61
