onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.042	10.707	6.042	4	10.049	6.707	1	6.707	182	66
23.569	12.273	23.569	5	28.579	7.273	1	7.273	196	65
40.603	11.155	40.603	5	45.613	6.155	1	6.155	308	62
57.155	10.657	57.155	3	60.161	7.657	1	7.657	210	65
74.189	14	74.189	4	78.197	10	0	8.661	168	67
91.222	7.661	91.222	3	94.228	4.661	1	4.661	28	73
108.75	13.973	108.75	5	113.76	8.973	1	8.973	140	68
125.783	8.313	125.783	3	128.789	5.313	1	5.313	154	67
143.311	7.867	143.311	3	146.317	4.867	1	4.867	112	68
160.839	6.106	160.839	3	163.845	3.106	1	3.106	252	63
178.367	8.89	178.367	4	182.375	4.89	1	4.89	350	61
195.895	8.77	195.895	4	199.902	4.77	1	4.77	42	72
212.447	9.787	212.447	4	216.455	5.787	1	5.787	84	71
229	10.012	229	5	234.009	5.012	1	5.012	364	60
245.552	8.906	245.552	5	250.562	3.906	1	3.906	56	72
263.08	8.721	263.08	4	267.088	4.721	1	4.721	98	68
279.632	12.911	279.632	5	284.642	7.911	1	7.911	224	64
296.666	5.175	296.666	4	300.674	1.175	1	1.175	70	71
313.699	11.939	313.699	5	318.709	6.939	1	6.939	322	62
330.733	7.835	330.733	3	333.739	4.835	1	4.835	126	67
348.26	8.019	348.26	5	353.27	3.019	1	3.019	336	61
364.813	9.129	364.813	4	368.821	5.129	1	5.129	238	63
381.366	8.101	381.366	3	384.371	5.101	1	5.101	280	63
398.893	6.712	398.893	3	401.899	3.712	1	3.712	294	62
415.446	14.887	415.446	5	420.456	9.887	1	9.887	266	63
432.479	4.978	432.479	3	435.485	1.978	1	1.978	14	74
