onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.525	10.041	6.525	5	11.535	5.041	1	5.041	112	54
23.077	14	23.077	4	27.085	10	0	7.804	238	47
40.11	11.289	40.11	4	44.118	7.289	1	7.289	168	50
56.662	9.5	56.662	3	59.668	6.5	1	6.5	84	61
73.695	9.259	73.695	4	77.703	5.259	1	5.259	70	62
90.728	14.21	90.728	5	95.738	9.21	1	9.21	266	41
107.28	10.427	107.28	4	111.288	6.427	1	6.427	336	37
123.832	13	123.832	3	126.838	10	0	9.41	294	41
141.36	10.697	141.36	3	144.365	7.697	1	7.697	154	51
158.887	15	158.887	5	163.897	10	0	8.947	308	38
175.439	15	175.439	5	180.449	10	0	7.944	196	47
191.991	11.122	191.991	3	194.997	8.122	1	8.122	140	52
209.518	9.409	209.518	4	213.526	5.409	1	5.409	126	54
226.552	11.292	226.552	4	230.559	7.292	1	7.292	364	36
244.079	10.571	244.079	5	249.089	5.571	1	5.571	322	39
260.631	13.438	260.631	5	265.641	8.438	1	8.438	210	46
277.664	7.896	277.664	3	280.67	4.896	1	4.896	56	62
295.191	12.244	295.191	3	298.197	9.244	1	9.244	28	67
311.743	14	311.743	4	315.751	10	0	4.288	182	53
329.271	11.074	329.271	5	334.28	6.074	1	6.074	350	39
346.798	15	346.798	5	351.808	10	0	8.558	280	45
363.35	11.136	363.35	5	368.36	6.136	1	6.136	98	58
380.383	13	380.383	3	383.389	10	0	9.833	252	47
397.91	7.088	397.91	3	400.916	4.088	1	4.088	42	64
415.438	10.347	415.438	3	418.444	7.347	1	7.347	224	45
432.471	10.052	432.471	4	436.479	6.052	1	6.052	14	69
