onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.528	12.072	6.528	4	10.536	8.072	1	8.072	168	52
23.08	13.515	23.08	5	28.09	8.515	1	8.515	364	38
40.608	9.498	40.608	3	43.613	6.498	1	6.498	294	45
58.135	13.497	58.135	4	62.142	9.497	1	9.497	350	37
74.687	14.655	74.687	5	79.696	9.655	1	9.655	266	43
92.214	13.616	92.214	5	97.224	8.616	1	8.616	336	40
109.741	12.77	109.741	5	114.751	7.77	1	7.77	196	46
127.269	11.781	127.269	3	130.274	8.781	1	8.781	112	55
144.796	11.086	144.796	3	147.802	8.086	1	8.086	252	42
162.323	14	162.323	4	166.331	10	0	9.766	42	65
178.875	14	178.875	4	182.883	10	0	9.933	238	51
195.427	14	195.427	4	199.435	10	0	9.706	182	44
211.98	15	211.98	5	216.989	10	0	9.218	224	38
229.654	13.553	229.654	5	234.664	8.553	1	8.553	56	60
247.181	10.835	247.181	4	251.189	6.835	1	6.835	98	56
264.214	12.104	264.214	5	269.224	7.104	1	7.104	322	37
281.247	9.857	281.247	3	284.253	6.857	1	6.857	14	67
297.799	10.679	297.799	3	300.805	7.679	1	7.679	210	42
314.832	9.356	314.832	3	317.838	6.356	1	6.356	28	64
332.36	15	332.36	5	337.369	10	0	9.97	140	47
349.393	14.203	349.393	5	354.402	9.203	1	9.203	308	38
365.945	12.286	365.945	4	369.953	8.286	1	8.286	84	53
382.978	13	382.978	3	385.984	10	0	9.319	154	43
400.011	10.463	400.011	4	404.019	6.463	1	6.463	70	55
416.563	11.191	416.563	3	419.569	8.191	1	8.191	280	42
433.596	12.442	433.596	3	436.602	9.442	1	9.442	126	53
