onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.04	13.966	6.04	5	11.05	8.966	1	8.966	364	34
23.567	9.547	23.567	4	27.575	5.547	1	5.547	140	48
40.119	13.094	40.119	5	45.129	8.094	1	8.094	224	41
56.671	13.441	56.671	5	61.681	8.441	1	8.441	238	41
74.199	12.064	74.199	4	78.206	8.064	1	8.064	112	48
91.726	14.37	91.726	5	96.736	9.37	1	9.37	336	37
108.759	13	108.759	3	111.765	10	0	7.714	280	50
125.792	10.497	125.792	4	129.8	6.497	1	6.497	168	48
142.344	14	142.344	4	146.352	10	0	7.672	154	49
158.896	9.971	158.896	3	161.902	6.971	1	6.971	42	63
175.929	13	175.929	3	178.935	10	0	8.774	182	50
192.481	13.822	192.481	4	196.489	9.822	1	9.822	252	43
210.009	9.855	210.009	3	213.014	6.855	1	6.855	98	56
227.042	11.081	227.042	4	231.049	7.081	1	7.081	294	40
244.075	13.66	244.075	5	249.084	8.66	1	8.66	266	39
261.108	15	261.108	5	266.117	10	0	8.378	322	36
279.624	14	279.624	4	283.631	10	0	9.87	308	36
296.657	13	296.657	3	299.662	10	0	9.08	196	49
314.184	15	314.184	5	319.194	10	0	9.59	126	58
331.711	13.787	331.711	4	335.719	9.787	1	9.787	70	60
348.744	13	348.744	3	351.75	10	0	7.863	350	40
366.272	15	366.272	5	371.281	10	0	9.663	14	71
382.824	10.03	382.824	3	385.83	7.03	1	7.03	28	67
400.351	15	400.351	5	405.361	10	0	9.446	84	59
418.546	10.026	418.546	3	421.552	7.026	1	7.026	210	45
435.098	13	435.098	3	438.104	10	0	9.656	56	62
