onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.049	11.729	6.049	3	9.055	8.729	1	8.729	210	25
23.083	12.576	23.083	3	26.089	9.576	1	9.576	182	30
40.116	12.67	40.116	3	43.122	9.67	1	9.67	280	20
56.668	14	56.668	4	60.676	10	0	9.295	154	29
74.076	12.229	74.076	3	77.081	9.229	1	9.229	350	20
91.603	11.826	91.603	4	95.611	7.826	1	7.826	70	45
109.131	15	109.131	5	114.14	10	0	9.202	126	28
125.683	12.196	125.683	4	129.691	8.196	1	8.196	252	20
143.21	10.587	143.21	4	147.218	6.587	1	6.587	112	35
160.244	12.235	160.244	5	165.253	7.235	1	7.235	266	20
177.277	12.658	177.277	4	181.285	8.658	1	8.658	168	20
194.31	13.314	194.31	5	199.32	8.314	1	8.314	322	15
211.343	12.085	211.343	3	214.349	9.085	1	9.085	196	20
228.871	14.923	228.871	5	233.881	9.923	1	9.923	336	15
245.423	15	245.423	5	250.433	10	0	9.707	238	20
261.976	12.954	261.976	5	266.985	7.954	1	7.954	364	15
279.503	6.954	279.503	5	284.513	1.954	1	1.954	14	75
296.055	4.496	296.055	3	299.061	1.496	1	1.496	42	75
312.608	4.313	312.608	3	315.614	1.313	1	1.313	28	75
329.16	4.677	329.16	3	332.166	1.677	1	1.677	56	75
346.688	11.601	346.688	4	350.695	7.601	1	7.601	308	20
364.215	12.472	364.215	3	367.221	9.472	1	9.472	98	29
380.767	15	380.767	5	385.777	10	0	9.996	224	19
398.295	14	398.295	4	402.303	10	0	9.401	140	25
415.328	14	415.328	4	419.336	10	0	8.881	294	12
432.856	10.262	432.856	5	437.866	5.262	1	5.262	84	65
