onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.527	7.39	6.527	3	9.527	4.39	1	4.39	364	50
24.062	10.252	24.062	3	27.062	7.252	1	7.252	182	60
41.097	7.622	41.097	5	46.098	2.622	1	2.622	42	67
58.632	9.307	58.632	5	63.633	4.307	1	4.307	294	51
75.667	5.942	75.667	3	78.667	2.942	1	2.942	252	54
92.219	11.695	92.219	4	96.219	7.695	1	7.695	70	65
109.254	5.869	109.254	3	112.254	2.869	1	2.869	336	50
125.805	8.025	125.805	5	130.806	3.025	1	3.025	28	70
142.357	8.141	142.357	4	146.357	4.141	1	4.141	112	68
158.908	8.173	158.908	3	161.908	5.173	1	5.173	126	63
176.427	12.54	176.427	4	180.427	8.54	1	8.54	98	67
193.962	7.643	193.962	4	197.962	3.643	1	3.643	210	61
211.48	10.634	211.48	5	216.48	5.634	1	5.634	322	50
228.015	6.984	228.015	4	232.015	2.984	1	2.984	350	50
244.566	13	244.566	3	247.567	10	0	9.373	168	63
261.585	5.442	261.585	4	265.585	1.442	1	1.442	308	70
278.136	6.282	278.136	5	283.137	1.282	1	1.282	14	70
295.671	7.726	295.671	3	298.671	4.726	1	4.726	266	60
313.206	7.627	313.206	5	318.207	2.627	1	2.627	140	64
330.741	7.252	330.741	4	334.741	3.252	1	3.252	56	70
347.776	5.322	347.776	3	350.776	2.322	1	2.322	196	62
365.311	10.45	365.311	5	370.311	5.45	1	5.45	154	65
381.863	7.358	381.863	4	385.863	3.358	1	3.358	238	61
398.414	11.057	398.414	5	403.415	6.057	1	6.057	280	60
415.449	8.396	415.449	5	420.45	3.396	1	3.396	84	68
432.484	5.26	432.484	3	435.484	2.26	1	2.26	224	63
