onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.529	14.378	6.529	5	11.539	9.378	1	9.378	322	40
23.081	14	23.081	4	27.089	10	0	9.937	182	75
40.114	14	40.114	4	44.122	10	0	9.156	70	60
57.148	13	57.148	3	60.153	10	0	9.003	126	55
73.7	15	73.7	5	78.71	10	0	9.398	56	66
91.227	14	91.227	4	95.235	10	0	9.865	42	67
108.26	9.607	108.26	3	111.266	6.607	1	6.607	14	70
125.788	14	125.788	4	129.796	10	0	9.973	350	32
142.821	15	142.821	5	147.831	10	0	8.739	308	40
160.349	15	160.349	5	165.358	10	0	9.908	336	45
177.876	15	177.876	5	182.886	10	0	7.683	140	49
194.428	13	194.428	3	197.434	10	0	7.85	280	44
211.956	13	211.956	3	214.962	10	0	8.819	294	39
228.508	15	228.508	5	233.518	10	0	8.877	266	31
245.929	15	245.929	5	250.938	10	0	9.949	224	26
262.481	14	262.481	4	266.489	10	0	9.878	84	51
280.008	14	280.008	4	284.016	10	0	9.608	98	43
297.041	13	297.041	3	300.047	10	0	9.917	154	51
314.569	15	314.569	5	319.579	10	0	9.644	196	38
331.121	14.694	331.121	5	336.131	9.694	1	9.694	364	25
347.673	13	347.673	3	350.679	10	0	9.791	210	34
364.226	12.881	364.226	4	368.233	8.881	1	8.881	238	30
381.259	13	381.259	3	384.265	10	0	7.498	28	67
398.786	13	398.786	3	401.792	10	0	9.845	252	34
416.314	11.772	416.314	3	419.32	8.772	1	8.772	112	50
433.347	14	433.347	4	437.355	10	0	9.858	168	48
