onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.018	9.484	7.018	5	12.028	4.484	1	4.484	308	55
24.051	7.829	24.051	4	28.059	3.829	1	3.829	168	60
41.085	13.432	41.085	5	46.094	8.432	1	8.432	266	55
58.612	9.73	58.612	4	62.62	5.73	1	5.73	126	65
75.165	10.395	75.165	4	79.172	6.395	1	6.395	182	65
91.717	12.72	91.717	5	96.727	7.72	1	7.72	210	55
109.245	13.048	109.245	5	114.254	8.048	1	8.048	280	55
125.797	14.343	125.797	5	130.807	9.343	1	9.343	98	65
142.83	8.712	142.83	4	146.838	4.712	1	4.712	14	70
160.358	8.974	160.358	5	165.368	3.974	1	3.974	350	58
177.391	7.455	177.391	5	182.401	2.455	1	2.455	112	65
194.425	10.265	194.425	3	197.43	7.265	1	7.265	56	70
210.977	12.234	210.977	3	213.983	9.234	1	9.234	294	55
227.529	10.476	227.529	4	231.537	6.476	1	6.476	336	55
245.057	9.657	245.057	3	248.063	6.657	1	6.657	224	55
262.09	8.154	262.09	4	266.098	4.154	1	4.154	364	55
279.618	10.957	279.618	3	282.624	7.957	1	7.957	154	60
297.145	10.261	297.145	3	300.151	7.261	1	7.261	28	70
314.179	6.173	314.179	4	318.187	2.173	1	2.173	70	69
331.212	9.343	331.212	3	334.218	6.343	1	6.343	252	55
347.764	6.567	347.764	3	350.77	3.567	1	3.567	84	70
364.317	9.243	364.317	5	369.327	4.243	1	4.243	196	60
380.869	13	380.869	3	383.875	10	0	9.786	140	60
398.397	9.083	398.397	5	403.407	4.083	1	4.083	322	55
414.949	14	414.949	4	418.957	10	0	9.885	238	57
432.477	5.79	432.477	3	435.483	2.79	1	2.79	42	70
