onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.524	13.526	6.524	4	10.525	9.526	1	9.526	238	50
24.059	13	24.059	3	27.059	10	0	9.91	280	48
41.594	15	41.594	5	46.595	10	0	3.566	154	53
58.129	12.791	58.129	3	61.129	9.791	1	9.791	224	52
74.664	11.976	74.664	4	78.664	7.976	1	7.976	14	65
91.699	12.352	91.699	5	96.699	7.352	1	7.352	98	55
109.234	14	109.234	4	113.234	10	0	9.91	112	57
126.269	14	126.269	4	130.269	10	0	3.663	308	45
143.304	13.766	143.304	5	148.304	8.766	1	8.766	196	49
159.855	9.036	159.855	3	162.856	6.036	1	6.036	84	61
177.39	13	177.39	3	180.391	10	0	9.804	168	48
193.925	14	193.925	4	197.926	10	0	9.54	294	42
210.943	10.324	210.943	3	213.944	7.324	1	7.324	336	36
227.962	9.458	227.962	4	231.962	5.458	1	5.458	364	36
245.497	13	245.497	3	248.497	10	0	9.337	28	63
262.048	13	262.048	3	265.049	10	0	9.258	42	59
279.083	10.468	279.083	5	284.084	5.468	1	5.468	126	55
296.618	12.141	296.618	3	299.618	9.141	1	9.141	140	53
313.153	7.978	313.153	3	316.153	4.978	1	4.978	252	44
330.688	11.82	330.688	5	335.689	6.82	1	6.82	182	47
347.723	10.917	347.723	4	351.723	6.917	1	6.917	210	48
364.275	10.567	364.275	5	369.275	5.567	1	5.567	56	60
381.81	12.985	381.81	5	386.81	7.985	1	7.985	266	43
399.345	10.49	399.345	4	403.345	6.49	1	6.49	70	58
415.896	11.641	415.896	5	420.897	6.641	1	6.641	350	43
432.431	11.291	432.431	5	437.431	6.291	1	6.291	322	43
