onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.054	12.927	6.054	3	9.054	9.927	1	9.927	56	54
22.605	9.968	22.605	4	26.606	5.968	1	5.968	336	44
40.123	12.15	40.123	5	45.124	7.15	1	7.15	252	45
57.142	7.331	57.142	5	62.142	2.331	1	2.331	28	60
73.694	12.633	73.694	5	78.694	7.633	1	7.633	294	43
90.728	13	90.728	3	93.729	10	0	9.479	42	59
108.263	14	108.263	4	112.264	10	0	6.272	224	47
125.782	15	125.782	5	130.782	10	0	4.044	84	58
142.816	13	142.816	3	145.817	10	0	9.896	126	57
159.835	9.531	159.835	4	163.835	5.531	1	5.531	210	50
176.87	12.345	176.87	3	179.87	9.345	1	9.345	196	51
194.405	13	194.405	3	197.405	10	0	8.944	112	56
211.94	12.544	211.94	5	216.94	7.544	1	7.544	266	46
228.491	11.257	228.491	3	231.491	8.257	1	8.257	182	47
245.043	13.177	245.043	5	250.043	8.177	1	8.177	14	60
262.578	13.396	262.578	5	267.578	8.396	1	8.396	364	42
279.129	12.424	279.129	3	282.13	9.424	1	9.424	280	45
295.681	8.568	295.681	4	299.681	4.568	1	4.568	238	42
313.199	14.299	313.199	5	318.2	9.299	1	9.299	154	51
329.734	7.435	329.734	3	332.734	4.435	1	4.435	70	55
346.769	13.832	346.769	4	350.769	9.832	1	9.832	308	44
364.304	12.847	364.304	4	368.304	8.847	1	8.847	350	42
381.339	8.977	381.339	4	385.339	4.977	1	4.977	98	52
398.374	9.421	398.374	3	401.374	6.421	1	6.421	322	45
414.925	11.03	414.925	5	419.926	6.03	1	6.03	168	53
432.46	9.511	432.46	4	436.461	5.511	1	5.511	140	55
