onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.026	10.803	7.026	3	10.032	7.803	1	7.803	154	28
24.554	10.553	24.554	3	27.56	7.553	1	7.553	28	50
41.106	12.163	41.106	3	44.112	9.163	1	9.163	294	20
58.634	11.912	58.634	3	61.64	8.912	1	8.912	224	25
76.162	14	76.162	4	80.169	10	0	9.672	126	26
93.195	12.195	93.195	5	98.205	7.195	1	7.195	266	30
109.747	14.257	109.747	5	114.757	9.257	1	9.257	210	25
126.3	9.921	126.3	3	129.306	6.921	1	6.921	140	30
143.827	13.428	143.827	5	148.837	8.428	1	8.428	350	20
161.355	14.943	161.355	5	166.365	9.943	1	9.943	280	21
178.882	12.658	178.882	3	181.888	9.658	1	9.658	42	35
195.435	14.031	195.435	5	200.445	9.031	1	9.031	196	25
212.468	9.033	212.468	4	216.476	5.033	1	5.033	14	60
229.021	13.151	229.021	4	233.028	9.151	1	9.151	336	17
245.573	14	245.573	4	249.581	10	0	8.511	238	29
263.1	11.72	263.1	5	268.11	6.72	1	6.72	308	20
280.628	15	280.628	5	285.638	10	0	9.879	322	26
297.661	13.161	297.661	4	301.669	9.161	1	9.161	168	20
314.695	12.943	314.695	5	319.705	7.943	1	7.943	112	25
331.728	9.272	331.728	4	335.736	5.272	1	5.272	70	35
348.28	10.48	348.28	5	353.29	5.48	1	5.48	98	27
365.314	10.946	365.314	3	368.32	7.946	1	7.946	56	35
382.347	11.588	382.347	4	386.355	7.588	1	7.588	364	15
399.38	13	399.38	3	402.387	10	0	8.96	252	17
415.933	9.958	415.933	3	418.939	6.958	1	6.958	84	30
432.485	11.877	432.485	4	436.493	7.877	1	7.877	182	30
