onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.528	9.678	6.528	3	9.544	6.678	1	6.678	154	65
23.562	10.87	23.562	5	28.562	5.87	1	5.87	322	70
40.113	13.967	40.113	5	45.114	8.967	1	8.967	266	60
57.131	5.443	57.131	3	60.132	2.443	1	2.443	28	70
74.666	8.703	74.666	3	77.667	5.703	1	5.703	112	65
92.185	12.032	92.185	5	97.185	7.032	1	7.032	140	65
109.703	7.637	109.703	4	113.703	3.637	1	3.637	98	70
127.238	12.217	127.238	3	130.238	9.217	1	9.217	294	60
143.79	9.092	143.79	4	147.79	5.092	1	5.092	182	65
161.325	12.112	161.325	5	166.325	7.112	1	7.112	196	63
178.86	11.814	178.86	4	182.86	7.814	1	7.814	350	60
195.394	8.48	195.394	3	198.395	5.48	1	5.48	210	63
212.429	14.805	212.429	5	217.43	9.805	1	9.805	308	60
229.964	8.987	229.964	5	234.965	3.987	1	3.987	336	60
246.983	13	246.983	3	249.983	10	0	9.858	126	65
264.018	10.153	264.018	3	267.018	7.153	1	7.153	14	75
280.569	12.415	280.569	5	285.57	7.415	1	7.415	364	61
297.104	8.2	297.104	3	300.104	5.2	1	5.2	280	65
313.656	14.556	313.656	5	318.656	9.556	1	9.556	56	73
330.207	12.845	330.207	5	335.208	7.845	1	7.845	224	67
347.742	11.843	347.742	3	350.742	8.843	1	8.843	252	62
364.76	11.944	364.76	4	368.761	7.944	1	7.944	70	70
381.795	7.797	381.795	4	385.796	3.797	1	3.797	168	65
398.347	8.335	398.347	4	402.347	4.335	1	4.335	238	61
415.882	8.991	415.882	4	419.882	4.991	1	4.991	42	71
432.433	6.973	432.433	4	436.434	2.973	1	2.973	84	70
