onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.038	10.196	6.038	3	9.038	7.196	1	7.196	350	61
23.573	9.124	23.573	5	28.573	4.124	1	4.124	126	67
41.108	14.001	41.108	5	46.108	9.001	1	9.001	336	62
58.643	4.742	58.643	3	61.643	1.742	1	1.742	56	70
76.178	8.712	76.178	4	80.178	4.712	1	4.712	210	64
93.213	7.286	93.213	4	97.213	3.286	1	3.286	322	60
110.748	8.295	110.748	5	115.748	3.295	1	3.295	252	61
127.766	12.084	127.766	4	131.766	8.084	1	8.084	224	63
144.301	7.355	144.301	5	149.301	2.355	1	2.355	14	72
161.836	5.98	161.836	3	164.836	2.98	1	2.98	42	70
179.371	9.656	179.371	4	183.371	5.656	1	5.656	28	71
195.906	6.265	195.906	4	199.906	2.265	1	2.265	168	64
213.441	6.268	213.441	5	218.441	1.268	1	1.268	70	70
230.476	7.272	230.476	3	233.476	4.272	1	4.272	280	61
247.027	7.511	247.027	5	252.028	2.511	1	2.511	266	63
263.579	7.146	263.579	3	266.579	4.146	1	4.146	196	65
280.13	8.601	280.13	4	284.131	4.601	1	4.601	182	63
296.682	7.823	296.682	3	299.682	4.823	1	4.823	84	72
313.233	7.784	313.233	4	317.234	3.784	1	3.784	112	70
329.768	6.504	329.768	3	332.768	3.504	1	3.504	308	62
346.803	8.022	346.803	4	350.803	4.022	1	4.022	98	64
364.338	9.129	364.338	3	367.338	6.129	1	6.129	238	61
381.373	7.859	381.373	5	386.374	2.859	1	2.859	154	69
398.408	9.856	398.408	5	403.408	4.856	1	4.856	140	67
415.443	10.479	415.443	3	418.443	7.479	1	7.479	364	60
432.478	11.885	432.478	5	437.478	6.885	1	6.885	294	61
