onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.534	6.858	6.534	3	9.54	3.858	1	3.858	280	75
23.086	6.768	23.086	4	27.094	2.768	1	2.768	252	75
39.639	7.834	39.639	5	44.648	2.834	1	2.834	364	75
57.166	7.674	57.166	4	61.174	3.674	1	3.674	70	75
74.199	5.627	74.199	3	77.205	2.627	1	2.627	350	75
91.727	7.074	91.727	4	95.735	3.074	1	3.074	140	75
109.255	6.597	109.255	4	113.263	2.597	1	2.597	308	75
125.807	7.543	125.807	3	128.813	4.543	1	4.543	42	75
143.335	8.23	143.335	5	148.345	3.23	1	3.23	14	75
160.368	5.599	160.368	4	164.376	1.599	1	1.599	294	75
177.401	6.044	177.401	3	180.407	3.044	1	3.044	182	75
194.435	7.848	194.435	5	199.444	2.848	1	2.848	322	75
211.468	6.057	211.468	4	215.476	2.057	1	2.057	168	75
228.996	7.658	228.996	5	234.005	2.658	1	2.658	336	75
245.548	5.463	245.548	3	248.554	2.463	1	2.463	56	75
263.076	7.769	263.076	5	268.085	2.769	1	2.769	126	75
280.603	8.071	280.603	5	285.613	3.071	1	3.071	84	75
297.156	5.364	297.156	3	300.161	2.364	1	2.364	28	75
314.189	5.445	314.189	3	317.195	2.445	1	2.445	196	75
331.717	8.841	331.717	3	334.722	5.841	1	5.841	98	75
349.244	6.924	349.244	4	353.252	2.924	1	2.924	112	75
365.797	8.617	365.797	5	370.806	3.617	1	3.617	238	75
382.349	8.031	382.349	5	387.359	3.031	1	3.031	224	75
398.901	6.375	398.901	3	401.907	3.375	1	3.375	210	75
415.935	9.529	415.935	5	420.944	4.529	1	4.529	266	75
432.487	7.258	432.487	4	436.495	3.258	1	3.258	154	75
