onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.06	7.598	6.06	4	10.067	3.598	1	3.598	182	75
22.612	8.679	22.612	4	26.62	4.679	1	4.679	84	75
39.164	15	39.164	5	44.174	10	0	7.043	266	75
56.492	14	56.492	4	60.499	10	0	9.212	168	75
74.019	10.956	74.019	3	77.025	7.956	1	7.956	252	75
91.053	15	91.053	5	96.062	10	0	8.083	322	75
107.605	9.96	107.605	3	110.611	6.96	1	6.96	280	75
124.638	6.641	124.638	4	128.646	2.641	1	2.641	70	75
142.166	10.948	142.166	3	145.172	7.948	1	7.948	112	75
159.693	8.897	159.693	3	162.699	5.897	1	5.897	294	75
176.727	9.333	176.727	3	179.733	6.333	1	6.333	154	75
193.76	10.374	193.76	5	198.77	5.374	1	5.374	308	75
210.312	8.974	210.312	5	215.322	3.974	1	3.974	364	75
226.865	10.141	226.865	3	229.871	7.141	1	7.141	210	75
244.392	7.212	244.392	4	248.4	3.212	1	3.212	98	75
261.426	6.614	261.426	3	264.432	3.614	1	3.614	28	75
277.978	8.958	277.978	5	282.988	3.958	1	3.958	224	75
295.506	9.721	295.506	5	300.516	4.721	1	4.721	196	75
313.033	7.727	313.033	5	318.043	2.727	1	2.727	336	75
330.067	6.132	330.067	3	333.073	3.132	1	3.132	126	75
347.594	6.298	347.594	4	351.602	2.298	1	2.298	42	75
365.122	6.664	365.122	4	369.13	2.664	1	2.664	350	75
381.674	11.352	381.674	4	385.682	7.352	1	7.352	238	75
398.708	5.157	398.708	3	401.713	2.157	1	2.157	14	75
415.26	8.748	415.26	5	420.27	3.748	1	3.748	56	75
432.788	7.761	432.788	5	437.797	2.761	1	2.761	140	75
