onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.024	7.105	7.024	5	12.034	2.105	1	2.105	126	75
23.576	7.292	23.576	4	27.584	3.292	1	3.292	280	75
40.61	7.262	40.61	5	45.619	2.262	1	2.262	112	75
57.643	10.853	57.643	5	62.653	5.853	1	5.853	182	75
74.676	6.887	74.676	5	79.686	1.887	1	1.887	168	75
92.204	6.012	92.204	3	95.21	3.012	1	3.012	210	75
109.237	7.365	109.237	4	113.245	3.365	1	3.365	14	75
125.79	6.772	125.79	5	130.799	1.772	1	1.772	252	75
142.342	6.805	142.342	4	146.35	2.805	1	2.805	42	75
159.87	7.121	159.87	3	162.875	4.121	1	4.121	238	75
176.422	6.969	176.422	4	180.43	2.969	1	2.969	308	75
193.95	9.638	193.95	5	200.91	4.638	1	4.638	196	75
210.983	7.349	210.983	5	215.993	2.349	1	2.349	364	75
227.535	5.353	227.535	3	230.541	2.353	1	2.353	322	75
244.088	6.103	244.088	4	248.095	2.103	1	2.103	56	75
260.64	6.247	260.64	3	263.646	3.247	1	3.247	294	75
278.168	6.234	278.168	4	282.175	2.234	1	2.234	28	75
295.201	6.827	295.201	4	299.209	2.827	1	2.827	350	75
312.234	4.818	312.234	3	315.24	1.818	1	1.818	84	75
329.762	7.164	329.762	5	334.772	2.164	1	2.164	224	75
346.795	9.827	346.795	4	350.803	5.827	1	5.827	140	75
364.323	5.416	364.323	3	367.329	2.416	1	2.416	154	75
380.875	7.041	380.875	5	385.885	2.041	1	2.041	336	75
398.403	5.719	398.403	3	401.409	2.719	1	2.719	266	75
414.955	6.645	414.955	3	417.961	3.645	1	3.645	70	75
432.483	4.924	432.483	3	435.489	1.924	1	1.924	98	75
