onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
7.022	5.123	7.022	3	10.022	2.123	1	2.123	28	75
23.573	11.505	23.573	4	27.574	7.505	1	7.505	238	63
40.608	14.008	40.608	5	45.609	9.008	1	9.008	266	60
58.143	12.391	58.143	4	62.143	8.391	1	8.391	126	67
75.178	13	75.178	3	78.178	10	0	9.963	252	60
92.196	14	92.196	4	96.197	10	0	9.301	70	71
109.715	13	109.715	3	112.715	10	0	9.997	154	67
126.75	11.721	126.75	4	130.75	7.721	1	7.721	14	75
144.285	11.523	144.285	5	149.285	6.523	1	6.523	308	60
160.836	11.672	160.836	5	165.837	6.672	1	6.672	98	70
178.371	10.583	178.371	5	183.372	5.583	1	5.583	280	61
194.923	11.346	194.923	5	199.923	6.346	1	6.346	210	63
211.474	12.712	211.474	5	216.475	7.712	1	7.712	196	65
228.993	10.839	228.993	3	231.993	7.839	1	7.839	42	74
245.544	9.394	245.544	3	248.544	6.394	1	6.394	84	72
262.096	8.856	262.096	3	265.096	5.856	1	5.856	294	62
278.647	8.39	278.647	4	282.648	4.39	1	4.39	336	58
296.182	9.242	296.182	5	301.183	4.242	1	4.242	322	59
313.217	4.8	313.217	3	316.217	1.8	1	1.8	56	73
330.252	13.205	330.252	4	334.252	9.205	1	9.205	364	55
346.804	7.215	346.804	3	349.804	4.215	1	4.215	140	68
363.839	9.664	363.839	5	368.839	4.664	1	4.664	112	69
381.374	9.035	381.374	3	384.374	6.035	1	6.035	224	63
398.909	10.482	398.909	5	403.909	5.482	1	5.482	350	56
415.46	14	415.46	4	419.461	10	0	9.958	182	66
432.495	7.553	432.495	4	436.495	3.553	1	3.553	168	66
